cycle4_criterion,cycle4_title,total_changes,confirmed_count,candidate_count,needs_review_count,high_risk_count,medium_risk_count,official_confirmation_needed_count,manual_review_required,change_type_counts,primary_departments
1.1,교육목표 및 발전계획,48,20,8,20,17,11,28,false,유지:20;삭제/이동후보:8;변경:8;신설후보:6;이동후보:5;삭제후보:1,기획처:28
1.2,거버넌스와 감사,49,22,15,12,8,19,27,false,유지:24;변경:15;신설후보:5;삭제/이동후보:5,기획처:27
1.3,재정 확보 및 집행,43,15,2,26,13,1,28,false,유지:29;삭제/이동후보:5;신설후보:5;변경:3;삭제후보:1,기획처:14
1.4,성과관리체계 구축 및 운영,44,3,6,35,24,17,41,false,신설후보:27;이동후보:7;변경:6;유지:3;삭제/이동후보:1,기획처:41
1.5,교육성과,41,0,0,41,41,0,41,true,신설후보:20;변경:6;삭제후보:5;이동후보:5;삭제/이동후보:4;유지:1,기획처:41
1.6,사회공헌 및 지역사회 연계·협력,61,10,9,42,41,10,51,false,신설후보:22;삭제/이동후보:15;유지:10;변경:9;삭제후보:5,사회공헌 담당부서:51
2.1,교육과정 체계,38,17,7,14,14,7,21,false,유지:17;신설후보:9;변경:7;삭제후보:4;삭제/이동후보:1,교무처:21
2.2,교양교육과정,46,20,5,21,19,7,26,false,유지:20;신설후보:8;삭제후보:7;삭제/이동후보:6;변경:5,교무처:26
2.3,전공교육과정,48,17,10,21,18,13,31,false,유지:17;신설후보:16;변경:10;삭제/이동후보:3;삭제후보:2,교무처:31
2.4,학사관리,33,15,5,13,12,6,18,false,유지:16;신설후보:11;변경:5;삭제/이동후보:1,교무처:18
2.5,수업,43,24,3,16,16,3,19,false,유지:26;신설후보:11;변경:3;삭제/이동후보:3,교무처:19
2.6,교수-학습 지원,41,26,5,10,6,9,15,false,유지:27;신설후보:8;변경:5;삭제후보:1,교수학습지원센터:15
3.1,교원 확보 및 구성,36,7,8,21,23,6,29,false,신설후보:20;변경:8;유지:7;삭제/이동후보:1,교무처:29
3.2,교원 인사 및 업적평가,24,10,6,8,7,7,14,false,유지:10;신설후보:7;변경:6;삭제/이동후보:1,교무처:14
3.3,교원 처우 및 복지,32,17,5,10,10,5,15,false,유지:18;신설후보:9;변경:5,교무처:15
3.4,교원의 연구활동 및 성과,60,0,0,60,60,0,60,true,유지:19;신설후보:16;변경:9;삭제후보:8;삭제/이동후보:7;이동후보:1,연구처:60
3.5,직원 확보 및 인사,38,15,3,20,18,5,23,false,신설후보:17;유지:15;변경:3;삭제후보:2;삭제/이동후보:1,총무처:23
3.6,직원 복지 및 업무 역량 개발,38,11,9,18,17,10,27,false,신설후보:16;유지:11;변경:9;삭제/이동후보:2,총무처:27
4.1,장학 제도 및 학생 자치활동 지원,26,25,0,1,1,0,1,false,유지:25;신설후보:1,학생처:1
4.2,학생 심리상담 및 권익 보호,66,0,0,66,66,0,66,true,유지:28;신설후보:17;변경:14;삭제/이동후보:6;이동후보:1,학생상담센터:66
4.3,진로 및 취·창업 지원,27,0,0,27,27,0,27,true,변경:9;유지:6;신설후보:5;이동후보:4;삭제/이동후보:2;삭제후보:1,진로·취창업지원센터:27
4.4,교육 시설,45,29,5,11,11,5,16,false,유지:31;삭제후보:6;변경:5;신설후보:2;삭제/이동후보:1,시설관리팀:16
4.5,기숙사 및 학생 복지시설,34,23,3,8,7,4,11,false,유지:23;신설후보:7;변경:3;삭제/이동후보:1,학생처:11
4.6,도서관,32,15,9,8,5,12,17,false,유지:18;변경:9;신설후보:4;삭제후보:1,도서관:17
